,capacidad,alcaldia,latitud,longitud,alcaldia_id
433,2500,Milpa Alta,19.200752,-99.005385,009
434,2500,Milpa Alta,19.190858,-99.090807,009
435,2500,Milpa Alta,19.221951,-98.998524,009
436,2500,Milpa Alta,19.199745,-99.021349,009
437,1100,Milpa Alta,19.195978,-99.050606,009
438,2500,Milpa Alta,19.190024,-98.996869,009
439,2500,Milpa Alta,19.20465,-99.070594,009
440,2500,Milpa Alta,19.197045,-99.008094,009
441,1100,Milpa Alta,19.205494,-99.067425,009
442,2500,Milpa Alta,19.21909,-98.990468,009
443,2500,Milpa Alta,19.222627,-98.994441,009
444,1100,Milpa Alta,19.197083,-99.08439,009
445,1100,Milpa Alta,19.200616,-99.007357,009
446,2500,Milpa Alta,19.190208,-99.017692,009
447,1100,Milpa Alta,19.22651,-98.997362,009
448,2500,Milpa Alta,19.189788,-98.997007,009
449,2500,Tlalpan,19.217104,-99.206938,012
450,2500,Milpa Alta,19.222744,-98.995084,009
451,2500,Milpa Alta,19.195547,-99.003098,009
452,2500,Milpa Alta,19.197802,-99.016296,009
453,2500,Milpa Alta,19.191079,-99.088861,009
454,2500,Milpa Alta,19.225839,-98.998463,009
455,2500,Milpa Alta,19.194098,-99.08988,009
456,2500,Milpa Alta,19.19619,-99.00428,009
457,1100,Milpa Alta,19.196255,-99.015999,009
458,2500,Milpa Alta,19.222762,-98.994795,009
459,2500,Milpa Alta,19.19611,-99.007207,009
460,2500,Milpa Alta,19.222728,-98.994803,009
461,2500,Milpa Alta,19.200101,-99.021019,009
462,2500,Milpa Alta,19.225592,-98.999577,009
463,1100,Milpa Alta,19.188043,-98.994107,009
464,1100,Milpa Alta,19.195986,-99.088619,009
465,2500,Milpa Alta,19.200264,-99.020852,009
466,2500,Tlalpan,19.264255,-99.204073,012
467,2500,Milpa Alta,19.219016,-98.991891,009
468,2500,Milpa Alta,19.226083,-98.997912,009
469,2500,Milpa Alta,19.200674,-99.00625,009
470,2500,Milpa Alta,19.218852,-98.992602,009
471,1100,Milpa Alta,19.19541,-99.087478,009
472,2500,Milpa Alta,19.192646,-99.050854,009
473,2500,Milpa Alta,19.225384,-98.999525,009
474,2500,Milpa Alta,19.225394,-98.998239,009
475,2500,Milpa Alta,19.187193,-98.994712,009
476,2500,Milpa Alta,19.187686,-98.992473,009
477,2500,Milpa Alta,19.193295,-99.08959,009
478,1100,Milpa Alta,19.223391,-98.995339,009
479,2500,Milpa Alta,19.200539,-99.053077,009
480,2500,Milpa Alta,19.193468,-99.089706,009
481,2500,Milpa Alta,19.200952,-99.006208,009
482,1100,Milpa Alta,19.200378,-99.02086,009
483,1100,Tlalpan,19.247158,-99.141866,012
484,1100,Milpa Alta,19.222815,-98.995241,009
485,2500,Milpa Alta,19.18901,-98.996478,009
486,2500,Milpa Alta,19.199943,-99.020669,009
487,2500,Milpa Alta,19.225741,-98.997773,009
488,2500,Milpa Alta,19.200671,-99.006252,009
489,2500,Milpa Alta,19.223671,-98.995301,009
490,2500,Milpa Alta,19.195131,-99.006386,009
491,2500,Milpa Alta,19.193167,-99.001996,009
492,1100,Milpa Alta,19.218204,-98.994614,009
493,2500,Milpa Alta,19.193754,-99.021929,009
494,2500,Milpa Alta,19.200325,-99.020939,009
495,2500,Milpa Alta,19.227037,-98.997341,009
496,2500,Milpa Alta,19.192017,-99.091524,009
497,2500,Milpa Alta,19.227089,-98.997293,009
498,2500,Milpa Alta,19.193754,-99.021929,009
499,1100,Milpa Alta,19.195085,-99.087338,009
500,2500,Tlalpan,19.266206,-99.201328,012
501,2500,Milpa Alta,19.197552,-99.004539,009
502,2500,Milpa Alta,19.223819,-98.995373,009
503,2500,Milpa Alta,19.224215,-98.995708,009
504,2500,Milpa Alta,19.20054,-99.020754,009
505,2500,Milpa Alta,19.223678,-98.997292,009
506,2500,Milpa Alta,19.19066,-99.089683,009
507,2500,Milpa Alta,19.200112,-99.020904,009
508,2500,Milpa Alta,19.200177,-99.020921,009
509,2500,Milpa Alta,19.19495,-99.086498,009
510,2500,Milpa Alta,19.193936,-99.007732,009
511,2500,Milpa Alta,19.189408,-99.096729,009
512,2500,Milpa Alta,19.209983,-99.039242,009
513,2500,Milpa Alta,19.195102,-99.016839,009
514,2500,Milpa Alta,19.194753,-99.001479,009
515,2500,Milpa Alta,19.195381,-99.020786,009
516,2500,Milpa Alta,19.214091,-99.057579,009
517,2500,Tlalpan,19.253173,-99.18917,012
518,2500,Milpa Alta,19.190187,-99.09443,009
519,2500,Milpa Alta,19.200596,-99.006265,009
520,2500,Milpa Alta,19.201583,-99.018063,009
521,1100,Milpa Alta,19.198948,-99.050732,009
522,2500,Milpa Alta,19.197647,-99.051751,009
523,2500,Milpa Alta,19.194382,-99.017011,009
524,2500,Milpa Alta,19.197231,-98.999541,009
525,1100,Milpa Alta,19.192011,-99.094189,009
526,2500,Milpa Alta,19.194014,-99.051878,009
527,2500,Milpa Alta,19.197562,-99.015723,009
528,2500,Milpa Alta,19.18771,-99.018486,009
529,2500,Milpa Alta,19.194335,-99.001519,009
530,2500,Milpa Alta,19.202663,-99.017529,009
531,2500,Milpa Alta,19.197767,-99.054213,009
532,2500,Milpa Alta,19.170458,-99.030992,009
